isbn	rgtn	ymd	title	ser	auth	cls1	cls2	cls3	pub	pubyr
	10265	1983/03/31	イビデン７０年史		イビデン株式会社社史編集室．編		ｲ		イビデン株式会社	1982
	10294	1983/03/31	廣漢和辞典　上	辞典	諸橋　轍次／鎌田　正／米山　寅太郎．共著	813.2	ﾓﾃ	上	大修館書店	1981
	10295	1983/03/31	廣漢和辞典　中	辞典	諸橋　轍次／鎌田　正／米山　寅太郎．共著	813.2	ﾓﾃ	中	大修館書店	1982
	10296	1983/03/31	廣漢和辞典　下	辞典	諸橋　轍次／鎌田　正／米山　寅太郎．共著	813.2	ﾓﾃ	下	大修館書店	1982
	11157	1983/06/19	新英和中辞典	辞典	研究社	833	ｹ	1	研究社	1982
	11646	1983/11/26	崑崙山への昇仙　--古代中国人が描いた死後の世界--	中公新書６３５	曽布川　寛	186.7	ｿ		中央公論社	1981
	11756	1983/12/24	山伏　--入峰・修行・呪法--	中公新書４８	和歌森　太郎	188.59	ﾜ		中央公論社	1964
	11993	1983/12/28	禅思想　--その原型をあらう--	中公新書４００	柳田　聖山	188.8	ﾔ		中央公論社	1975
	12337	1984/02/05	北の国から　前編		倉本　聰	912.7	ｸ	1	理論社	1982
	12436	1984/02/22	経済学大辞典　\x87T		編集委員	330.3	ﾄ	1	東洋経済新報社	1981
	12437	1984/02/22	経済学大辞典　\x87U		編集委員	330.3	ﾄ	2	東洋経済新報社	1980
	12439	1984/02/22	角川日本地名大辞典　２１　／岐阜県	地名辞典	編纂委員会	291.03	ｶ	21	角川書店	1980
	13119	1984/07/26	講座　日本近代文学史　１		小田切　秀雄．編	910.26	ｵ	1	大月書店	1656
	13120	1984/07/26	講座　日本近代文学史　２		小田切　秀雄．編	910.26	ｵ	2	大月書店	1656
	13121	1984/07/26	講座　日本近代文学史　３		小田切　秀雄．編	910.26	ｵ	3	大月書店	1656
	13122	1984/07/26	講座　日本近代文学史　４		小田切　秀雄．編	910.26	ｵ	4	大月書店	1957
	13123	1984/07/26	講座　日本近代文学史　５		小田切　秀雄．編	910.26	ｵ	5	大月書店	1957
	13169	1984/07/26	超人間　／肉体と精神を改造する科学／	カッパブックス	Ｒ・エッチンガー／久保　智洋．訳	469	ｴ		光文社	1977
